Day,target,STOCH_slowk,STOCH_slowd,MACD,MACD_hist,CCI_5,CCI_10,CCI_21,CCI_50,MOM_5,MOM_10,MOM_21,RSI_5,RSI_10,RSI_21,RSI_50
2019-09-14,0.0,77.4880790597802,58.68232904667591,-15.284156335565058,28.878360495318688,68.96740494801004,-5.873596769940853,41.59638402669442,-12.734626368315238,23.074219000000085,-236.44433599999866,198.0878900000007,53.69820993773092,51.63123448602994,50.02253821969782,51.8415277034653
2019-09-15,0.0,80.71626592070797,73.05119367912273,-11.563825630017163,26.078952960693265,48.99071867937568,3.11457583548003,36.72826777534076,-16.048063427459343,231.73730499999874,-227.82031200000165,209.19531299999835,52.47898051425221,51.24578355037216,49.901451854693605,51.80097554915082
2019-09-16,0.0,71.00971978142314,76.4046882539704,-14.174606944701736,18.774537316806956,-129.75270682665217,-31.57870799473109,21.2714600424304,-28.390028086919855,98.421875,-76.50878900000134,-94.02636800000073,43.9251389427708,48.4861933519096,49.04611758989687,51.518820132930045
2019-09-17,0.0,50.581483374001344,67.43582302537745,-18.89217955370259,11.245571766244883,-114.96272894126304,-48.69683802808268,11.175065897020586,-36.84600086799808,-168.8544920000004,-275.98242199999913,55.772461000000476,39.85765031753299,47.07538930931394,48.60794212928316,51.37579519674974
2019-09-18,0.0,25.296790575454327,48.962664576959575,-25.805134941909273,3.466093102430559,-94.67441004348143,-52.923788927256034,1.5896824607464681,-43.24521803939892,-162.29882800000087,-243.02832000000126,443.82519499999944,34.95672765005107,45.30143700823731,48.06186100923944,51.20011831838263
2019-09-19,1.0,33.865466331582816,36.581246760346126,-25.489369745297154,3.025486639234142,-132.85889357932808,-105.78608324855192,-32.92115792652704,-57.118199940838856,-91.63378900000134,-68.55957000000126,756.2148440000001,47.69424554823236,48.70430861177324,49.0147513696812,51.46841396392462
2019-09-20,0.0,47.593519097142575,35.58525866805987,-31.714051591310636,-2.5593561654234733,-30.749742640864167,-53.92798858370029,-27.598309893886636,-47.33107392917159,-166.07128899999952,65.66601599999922,583.4677739999988,36.56346846100803,44.84894757815789,47.86798059713269,51.111818533585996
2019-09-21,0.0,58.95760374077224,46.80552972316584,-49.14660384569288,-15.993526735844576,-123.30899410721551,-157.32246670452295,-97.46817490931477,-65.10070779816469,-257.0771480000003,-158.6552730000003,389.05273399999896,23.48003274748271,38.398078280834916,45.72250906242971,50.430800881441364
2019-09-22,1.0,49.554530895613674,52.035217911176126,-58.20199867923111,-20.039137255506247,-106.57454570140052,-144.15042411050354,-137.88005095336177,-70.14356842155166,-170.8798829999996,-339.734375,312.421875,32.876148662549504,41.332407327910595,46.51032359542283,50.64082343475954
2019-09-23,0.0,29.131516889490452,45.881217175292086,-91.84114294278334,-42.94262521524678,-144.60022265204879,-177.3967997691141,-194.50372143844444,-94.58051975762801,-468.92382799999905,-631.2226559999999,-617.4365230000003,16.170789673585784,30.476279070525088,42.18342838011516,49.208923075770734
2019-09-24,0.0,20.895009143329336,33.19368564281112,-205.59789184507827,-125.35949929403337,-166.66666666666703,-283.0194573772093,-402.4731922016778,-230.77829111222215,-1645.8486329999996,-1737.482422000001,-2002.9736329999996,5.276277566073539,15.63914496218009,32.01657699002822,44.98915074549075
